Water Mass,Distance,
0,9.74,
0.05,15.73,
0.1,21.62,
0.15,25.68,
0.2,30.55,
0.25,34.78,
0.3,38.36,
0.35,42.42,
0.4,45.71,
0.45,48.27,
0.5,50.18,
0.55,51.48,
0.6,53.56,
0.65,54.25,
0.7,54.87,
0.75,55.25,
0.8,55.28,
0.85,54.86,
0.9,53.9,
0.95,52.74,
1,51,
1.05,48.59,
1.1,45.56,
1.15,41.21,
1.2,36.56,
1.25,32.26,
1.3,28.52,
1.35,25.28,
1.4,22.5,
1.45,20.08,
1.5,17.97,
1.55,16.1,
1.6,14.44,
1.65,12.94,
1.7,11.56,
1.75,10.25,
1.8,8.97,
1.85,7.61,
1.9,5.99,
1.95,3.5,
,,
,, 